"NAME","Latitude","Longitude","Poverty","Labor Force","Housing Characteristics","Population Composition","Personal Disruption","Housing Disruption","Retiree Migration","Urban Sprawl","Commercial Engagement","Commercial Reliance","Recreational Engagement","Recreational Reliance","Sea Level Rise Risk","Storm Surge Risk","Poverty Categorical Ranking","Labor Force Categorical Ranking","Housing Characteristics Categorical Ranking","Population Composition Categorical Ranking","Personal Disruption Categorical Ranking","Housing Disruption Categorical Ranking","Retiree Migration Categorical Ranking","Urban Sprawl Categorical Ranking","Commercial Engagement Categorical Ranking","Commercial Reliance Categorical Ranking","Recreational Engagement Categorical Ranking","Recreational Reliance Categorical Ranking","Sea Level Rise Risk Categorical Ranking","Storm Surge Risk Categorical Ranking"
"Campo",32.6409665,-116.4745155,"1.351","0.134","0.128","1.274","1.747","N/A","-0.224","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,2,2,4,4,0,1,0,1,1,0,0,1,0
"Camp Pendleton North",33.3194069,-117.3194177,"-0.89","1.18","0.019","0.26","-0.901","N/A","-1.081","0.354","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,4,2,2,1,0,1,2,1,1,0,0,1,0
"Camp Pendleton South",33.2284125,-117.3808637,"-0.406","0.185","-0.072","0.953","-0.899","N/A","-1.238","1.868","-0.157","-0.088","N/A","N/A","-0.304","N/A",1,2,1,3,1,0,1,4,1,1,0,0,1,0
"Carmel Valley Village",36.5011591,-121.7321488,"-0.75","0.193","-1.013","-0.776","-0.339","0.279","0.951","3.663","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,1,1,2,3,4,1,1,0,0,1,0
"Carmet",38.3744519,-123.0718595,"-1.074","2.629","2.832","-0.222","-1.448","N/A","-0.795","N/A","-0.157","N/A","N/A","N/A","-0.309","N/A",1,4,4,1,1,0,1,0,1,0,0,0,1,0
"Casa Conejo",34.184731,-118.9445166,"-0.598","-0.464","-1.075","-0.107","-0.207","0.505","-0.352","2.487","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,3,1,4,1,1,0,0,1,0
"Casa de Oro-Mount Helix",32.7639604,-116.9688078,"-0.209","-0.194","-0.923","0.067","-0.326","0.282","0.074","0.872","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,2,2,3,1,1,0,0,1,0
"Casmalia",34.8375885,-120.5310715,"-1.074","-0.38","1.928","0.126","-0.791","N/A","-0.02","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,4,2,1,0,1,0,1,1,0,0,1,0
"Caspar",39.3630629,-123.8041936,"-1.074","-1.128","1.169","-0.746","-1.267","N/A","-0.089","N/A","-0.157","-0.088","N/A","N/A","-0.3","N/A",1,1,4,1,1,0,1,0,1,1,0,0,1,0
"Castaic",34.4800598,-118.632867,"-0.541","-0.732","-0.962","0.349","-0.32","N/A","-0.923","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,0,1,0,1,1,0,0,1,0
"Castle Hill",37.8729549,-122.0573365,"-1.074","-0.201","-0.803","-0.953","-1.019","N/A","0.519","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,0,3,0,1,1,0,0,1,0
"Castro Valley",37.7082758,-122.0627686,"-0.454","-0.428","-0.842","0.531","-0.525","0.467","-0.313","1.097","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,3,1,2,1,4,1,1,0,0,1,0
"Castroville",36.764838,-121.7533738,"0.413","-0.651","0.345","2.966","0.565","0.396","-1.1","0.278","-0.157","-0.088","N/A","N/A","0.087","N/A",2,1,2,4,3,2,1,2,1,1,0,0,2,0
"Cayucos",35.4395808,-120.8898281,"0.15","0.544","0.033","-0.853","-0.407","0.027","0.816","-0.083","-0.157","-0.088","N/A","N/A","-0.303","N/A",2,3,2,1,1,2,3,1,1,1,0,0,1,0
"Cazadero",38.5278309,-123.1097995,"-0.805","1.136","0.178","-0.957","-0.581","N/A","0.996","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,4,2,1,1,0,3,0,1,1,0,0,1,0
"Channel Islands Beach",34.1610926,-119.2252768,"-0.173","-0.703","-1.182","-0.988","0.68","1.373","-0.884","1.402","-0.157","-0.088","N/A","N/A","-0.114","N/A",1,1,1,1,3,4,1,4,1,1,0,0,1,0
"Charter Oak",34.1024828,-117.8563151,"-0.111","-0.602","-0.292","0.989","0.161","0.018","-0.789","1.163","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,3,2,2,1,4,1,1,0,0,1,0
"Cherryland",37.679161,-122.1037669,"1.133","-0.358","-0.013","1.679","0.996","0.206","-0.94","1.543","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,1,1,4,3,2,1,4,1,1,0,0,1,0
"Chualar",36.5711128,-121.5102955,"1.397","-0.177","0.595","2.632","0.641","-0.688","-1.044","-0.336","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,1,3,4,3,1,1,1,1,1,0,0,1,0
"Citrus",34.1104556,-117.8934868,"-0.284","-0.218","-0.47","1.462","0.45","1.099","-0.397","1.254","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,4,2,4,1,4,1,1,0,0,1,0
"Cleone",39.4878572,-123.7760686,"0.257","-0.402","1.034","0.478","1.363","N/A","0.186","N/A","-0.157","-0.088","N/A","N/A","-0.307","N/A",2,1,4,2,4,0,2,0,1,1,0,0,1,0
"Clyde",38.0253998,-122.0280599,"-0.263","-0.558","-0.597","0.25","-0.27","-0.368","-0.811","0.702","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,1,1,3,1,1,0,0,1,0
"Comptche",39.2651343,-123.5897145,"-1.074","-2.484","1.578","0.997","0.971","N/A","-0.924","N/A","-0.153","-0.072","N/A","N/A","-0.309","N/A",1,1,4,3,3,0,1,0,1,1,0,0,1,0
"Corralitos",36.9842301,-121.7894324,"-0.699","0.196","-1.959","-0.179","-0.786","0.829","0.588","1.09","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,1,1,3,3,4,1,1,0,0,1,0
"Coto de Caza",33.5970366,-117.5864845,"-0.644","-0.472","-2.928","-0.677","-0.871","-0.33","-0.776","1.149","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,1,1,4,1,1,0,0,1,0
"Covelo",39.8001872,-123.2526012,"0.927","0.393","0.614","0.835","0.89","2.936","0.549","-1.269","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,2,3,3,3,4,3,1,1,1,0,0,1,0
"Crest",32.8000203,-116.8670776,"-0.643","-0.323","-0.451","-0.046","-0.709","0.661","0.037","0.384","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,3,2,2,1,1,0,0,1,0
"Creston",35.5170972,-120.518136,"-1.074","-0.684","2.832","0.588","-1.448","N/A","0.234","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,4,3,1,0,2,0,1,1,0,0,1,0
"Cutten",40.7656751,-124.1445655,"-0.414","0.047","0.261","-0.418","-0.597","0.017","0.345","-1.278","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,2,1,1,2,2,1,1,1,0,0,1,0
"Cuyama",34.9310567,-119.6148797,"-0.195","2.298","1.401","2.178","-0.09","N/A","1.849","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,4,4,4,1,0,4,0,1,1,0,0,1,0
"Davenport",37.0215902,-122.1943045,"-0.887","0.457","-0.404","0.924","-0.005","N/A","0.484","N/A","-0.157","-0.088","N/A","N/A","-0.306","N/A",1,2,1,3,1,0,2,0,1,1,0,0,1,0
"Day Valley",37.0254406,-121.8559328,"-0.55","0.536","-0.941","-0.762","-0.681","-0.588","0.86","1.074","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,3,1,1,1,1,3,4,1,1,0,0,1,0
"Deer Park",38.5349467,-122.4700917,"0.868","0.698","-0.767","-0.796","0.406","2.141","0.604","0.978","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,3,1,1,2,4,3,3,1,1,0,0,1,0
"Del Aire",33.9167122,-118.3692917,"-0.323","-1.043","-0.736","0.621","-0.089","1.651","-1.002","1.394","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,3,1,4,1,4,1,1,0,0,1,0
"Del Monte Forest",36.5838337,-121.9467143,"-0.874","1.584","-2.286","-0.709","-0.763","-0.353","1.836","0.858","-0.153","-0.088","N/A","N/A","-0.294","N/A",1,4,1,1,1,1,4,3,1,1,0,0,1,0
"Descanso",32.8695713,-116.6278741,"-0.442","0.195","0.14","-0.432","-0.729","N/A","0.352","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,2,1,1,0,2,0,1,1,0,0,1,0
"Desert View Highlands",34.5902591,-118.1535369,"0.109","0.427","-0.123","0.965","1.113","0.362","0.185","0.475","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,2,1,3,4,2,2,2,1,1,0,0,1,0
"Diablo",37.8408084,-121.9564563,"-1.074","3.653","-1.037","-1.594","-1.448","0.036","3.949","2.084","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,4,1,1,1,2,4,4,1,1,0,0,1,0
"Dillon Beach",38.2434883,-122.955955,"-1.074","-0.083","-1.414","0.158","-0.865","1.268","-0.184","1.17","-0.157","-0.088","N/A","N/A","-0.136","N/A",1,1,1,2,1,4,1,4,1,1,0,0,1,0
"Discovery Bay",37.9058098,-121.608563,"-0.452","-0.292","-1.559","-0.327","-0.45","-0.791","-0.417","0.848","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,1,1,3,1,1,0,0,1,0
"East Foothills",37.3825962,-121.8136881,"-0.695","-0.593","-2","0.094","-0.748","0.593","-0.006","1.259","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,3,1,4,1,1,0,0,1,0
"East Los Angeles",34.0315059,-118.1685666,"1.106","-0.16","0.2","2.506","1.502","0.645","-0.789","1.637","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,1,2,4,4,3,1,4,1,1,0,0,1,0
"East Pasadena",34.1367984,-118.0775355,"-0.725","-0.262","-0.881","1.013","-0.809","0.574","-0.232","1.222","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,4,1,3,1,4,1,1,0,0,1,0
"East Rancho Dominguez",33.8948342,-118.1955875,"1.207","-0.037","0.207","2.571","1.414","N/A","-0.837","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,1,2,4,4,0,1,0,1,1,0,0,1,0
"East Richmond Heights",37.9450812,-122.3139069,"-0.782","-0.505","-0.478","-0.131","-1.02","0.172","0.148","1.047","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,2,2,4,1,1,0,0,1,0
"East San Gabriel",34.1196455,-118.0802348,"0.021","-0.066","-0.533","1.537","-0.409","1.334","-0.335","1.603","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,4,1,4,1,4,1,1,0,0,1,0
"East Whittier",33.9243733,-117.9887261,"-0.027","-0.201","-0.406","0.475","0.163","N/A","-0.168","N/A","-0.157","-0.088","N/A","N/A","N/A","N/A",1,1,1,2,2,0,1,0,1,1,0,0,0,0
"Edna",35.2107855,-120.6059671,"0.371","2.174","-0.647","-0.676","-0.506","N/A","1.97","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,4,1,1,1,0,4,0,1,1,0,0,1,0
"Eldridge",38.3338866,-122.5065184,"-0.205","-1.082","-0.414","-0.938","-0.791","1.752","-1.023","0.889","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,4,1,3,1,1,0,0,1,0
"El Granada",37.521199,-122.4709046,"-0.956","-0.838","-1.448","-0.261","-0.924","0.1","-0.814","1.34","-0.149","-0.088","N/A","N/A","-0.302","N/A",1,1,1,1,1,2,1,4,1,1,0,0,1,0
"Elizabeth Lake",34.6564882,-118.379847,"-0.683","-0.036","-0.09","-0.26","-0.138","N/A","-0.269","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,0,1,0,1,1,0,0,1,0
"Elkhorn",36.8106726,-121.7186988,"-1.074","0.792","-0.73","-0.514","-0.55","-0.765","0.671","-0.068","-0.157","-0.088","N/A","N/A","-0.239","N/A",1,3,1,1,1,1,3,1,1,1,0,0,1,0
"Elmira",38.3523279,-121.9077194,"2.401","-0.426","1.108","0.98","0.674","N/A","-0.483","-0.04","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,1,4,3,3,0,1,1,1,1,0,0,1,0
"El Rio",34.2452858,-119.1568343,"0.642","0.068","-0.198","1.971","1.193","0.809","-0.174","0.588","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,2,1,4,4,3,1,3,1,1,0,0,1,0
"El Sobrante",37.9800515,-122.3068108,"-0.152","-0.772","-0.343","0.629","-0.146","0.749","-0.497","0.846","-0.153","-0.088","N/A","N/A","-0.309","N/A",1,1,1,3,1,3,1,3,1,1,0,0,1,0
"El Verano",38.2974647,-122.4915444,"-0.994","-0.458","-0.465","0.071","-0.516","0.644","-0.021","0.811","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,3,1,3,1,1,0,0,1,0
"Emerald Lake Hills",37.465282,-122.265898,"-0.94","-0.593","-2.246","-0.717","-1.124","-0.519","-0.397","2.562","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,1,1,4,1,1,0,0,1,0
"Eucalyptus Hills",32.8851767,-116.9449826,"-0.896","-0.715","-0.787","0.342","-0.499","N/A","-0.561","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,0,1,0,1,1,0,0,1,0
"Fairbanks Ranch",32.9915955,-117.186611,"-0.078","0.877","-1.454","-0.904","-0.245","-0.906","-0.134","2.745","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,3,1,1,1,1,1,4,1,1,0,0,1,0
"Fairhaven",40.7908802,-124.2047484,"-0.665","-0.314","0.674","-0.831","0.827","N/A","-0.502","N/A","-0.157","-0.088","N/A","N/A","N/A","N/A",1,1,3,1,3,0,1,0,1,1,0,0,0,0
"Fairview",37.6776822,-122.0444079,"-0.627","-0.411","-1.057","0.787","-0.774","0.254","-0.044","0.945","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,3,1,2,1,3,1,1,0,0,1,0
"Fallbrook",33.3747015,-117.2217238,"0.264","0.133","-0.233","0.72","0.043","0.595","0.046","0.507","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,2,1,3,2,3,2,3,1,1,0,0,1,0
"Felton",37.0392214,-122.0804734,"-0.905","-0.74","-0.594","-0.854","-0.484","0.607","-0.74","0.945","-0.153","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,3,1,3,1,1,0,0,1,0
"Fetters Hot Springs-Agua Caliente",38.3275042,-122.4871374,"0.692","-0.579","0.038","1.099","-0.173","1.195","-0.616","0.682","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,1,2,4,1,4,1,3,1,1,0,0,1,0
"Fieldbrook",40.9729581,-124.0285865,"0.238","0.664","-0.25","-0.805","-0.178","N/A","0.582","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,3,1,1,1,0,3,0,1,1,0,0,1,0
"Fields Landing",40.7242363,-124.2186025,"-1.074","-0.133","1.661","-0.122","0.243","N/A","-0.796","N/A","0.125","0.697","N/A","N/A","1.147","N/A",1,1,4,1,2,0,1,0,2,3,0,0,4,0
"Florence-Graham",33.9681594,-118.2446671,"1.785","-0.2","0.301","2.687","1.731","1.299","-1.049","1.743","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,1,2,4,4,4,1,4,1,1,0,0,1,0
"Forestville",38.4824914,-122.8898837,"-0.634","-0.556","0.195","-0.734","-0.318","0.074","0.174","0.466","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,2,1,1,2,2,2,1,1,0,0,1,0
"Fort Dick",41.8695255,-124.1671978,"-1.074","1.398","1.079","-0.824","-0.581","N/A","1.304","N/A","-0.157","-0.088","N/A","N/A","N/A","N/A",1,4,4,1,1,0,4,0,1,1,0,0,0,0
"Freedom",36.940222,-121.7952695,"0.473","-0.38","0.041","2.171","0.72","0.266","-0.489","0.815","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,2,4,3,2,1,3,1,1,0,0,1,0
"Fruitdale",37.3119242,-121.935678,"-0.704","-0.682","-0.802","0.012","-0.442","1.303","-0.188","1.3","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,4,1,4,1,1,0,0,1,0
"Fulton",38.4937089,-122.773417,"2.791","-0.029","1.661","1.803","2.254","N/A","-0.308","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,1,4,4,4,0,1,0,1,1,0,0,1,0
"Garberville",40.1003058,-123.7943149,"1.678","-0.892","0.513","-0.22","0.875","N/A","-1.007","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,1,3,1,3,0,1,0,1,1,0,0,1,0
"Garden Farms",35.4157817,-120.6140342,"-1.074","2.001","1.115","0.159","-1.448","N/A","1.541","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,4,4,2,1,0,4,0,1,1,0,0,1,0
"Garey",34.8858212,-120.3137504,"-0.714","-1.393","1.428","2.398","1.894","N/A","-1.437","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,4,4,4,0,1,0,1,1,0,0,1,0
"Gasquet",41.8360753,-123.9760308,"-0.636","2.359","1.728","-0.032","0.339","N/A","2.401","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,4,4,1,2,0,4,0,1,1,0,0,1,0
"Geyserville",38.7173139,-122.9034234,"0.394","-0.226","-0.113","0.871","-0.332","N/A","-0.265","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,3,1,0,1,0,1,1,0,0,1,0
"Glen Ellen",38.3553677,-122.543877,"-1.074","-1.409","-1.472","-1.337","-0.893","0.956","-0.289","0.93","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,3,1,3,1,1,0,0,1,0
"Granite Hills",32.8032797,-116.9055155,"0.088","0.187","-2.374","-0.381","-0.263","0.687","0.973","0.716","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,2,1,1,1,3,3,3,1,1,0,0,1,0
"Graton",38.4375168,-122.8659876,"-0.055","0.021","-0.155","-0.216","0.118","0.936","0.089","0.64","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,1,2,3,2,3,1,1,0,0,1,0
"Green Valley (Los Angeles County)",34.6174149,-118.4050226,"-0.397","-0.743","0.135","-0.535","-0.357","N/A","-0.838","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,2,1,1,0,1,0,1,1,0,0,1,0
"Green Valley (Solano County)",38.2638396,-122.162493,"-1.074","0.655","-0.083","-0.418","-1.407","-1.648","1.378","0.872","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,3,1,1,1,1,4,3,1,1,0,0,1,0
"Guerneville",38.5171652,-122.989897,"0.428","0.026","0.11","-0.791","0.028","0.298","0.117","0.408","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,2,2,1,2,2,2,2,1,1,0,0,1,0
"Hacienda Heights",33.9958532,-117.9730226,"-0.27","0.114","-0.763","1.58","-0.227","0.981","0.104","0.971","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,4,1,3,2,3,1,1,0,0,1,0
"Harbison Canyon",32.8272739,-116.8380698,"-0.397","-0.132","-0.591","-0.113","-0.427","0.061","-0.117","0.373","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,2,1,2,1,1,0,0,1,0
"Hartley",38.4203928,-121.9508422,"-0.731","0.517","-0.293","-0.263","-0.204","N/A","1.116","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,3,1,1,1,0,4,0,1,1,0,0,1,0
"Hasley Canyon",34.4815987,-118.6666891,"0.24","-0.357","-0.05","-0.352","0.03","N/A","-0.412","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,1,2,0,1,0,1,1,0,0,1,0
"Hidden Meadows",33.2236343,-117.1198258,"-0.61","1.147","-1.334","-0.35","-0.772","0.133","1.064","0.531","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,4,1,1,1,2,4,3,1,1,0,0,1,0
"Highlands-Baywood Park",37.5226444,-122.3447654,"-0.762","-0.311","-1.926","-0.143","-0.924","0.322","-0.044","2.351","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,2,1,4,1,1,0,0,1,0
"Hiouchi",41.7936643,-124.0661134,"-0.326","0.043","2.022","-1.226","-1.076","N/A","0.219","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,4,1,1,0,2,0,1,1,0,0,1,0
"Hoopa",41.0796391,-123.6976603,"2.661","0.375","1.677","1.385","1.589","N/A","-0.255","N/A","-0.157","-0.088","N/A","N/A","N/A","N/A",4,2,4,4,4,0,1,0,1,1,0,0,0,0
"Hopland",38.9688302,-123.1168992,"1.886","-0.359","0.425","1.112","1.625","N/A","-0.657","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,1,2,4,4,0,1,0,1,1,0,0,1,0
"Humboldt Hill",40.722316,-124.1973808,"-0.596","-0.187","0.581","-0.046","-0.087","-0.135","-0.807","-1.553","-0.157","-0.088","N/A","N/A","-0.078","N/A",1,1,3,1,1,1,1,1,1,1,0,0,1,0
"Hydesville",40.5578747,-124.0822499,"-0.115","-0.166","0.48","-0.745","-0.489","0.53","0.365","-1.249","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,2,1,1,3,2,1,1,1,0,0,1,0
"Indianola",40.8099643,-124.0784473,"1.174","-0.017","1.641","-0.704","1.479","N/A","-0.406","N/A","-0.157","-0.088","N/A","N/A","0.092","N/A",4,1,4,1,4,0,1,0,1,1,0,0,2,0
"Interlaken",36.9506036,-121.7375192,"0.505","-0.342","-0.538","1.82","0.284","0.311","-0.63","0.626","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,1,1,4,2,2,1,3,1,1,0,0,1,0
"Inverness",38.0827964,-122.8549425,"-0.474","1.073","-0.496","-1.359","-0.928","-0.106","1.35","0.953","-0.13","-0.068","N/A","N/A","-0.107","N/A",1,4,1,1,1,1,4,3,1,1,0,0,1,0
"Isla Vista",34.414116,-119.8578739,"1.617","-0.106","-0.127","-0.415","2.363","-2.375","-1.6","1.522","-0.157","-0.088","N/A","N/A","-0.29","N/A",4,1,1,1,4,1,1,4,1,1,0,0,1,0
"Jacumba",32.6364781,-116.190706,"-1.074","2.679","1.557","-0.251","-1.448","N/A","4.106","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,4,4,1,1,0,4,0,1,1,0,0,1,0
"Jamul",32.71841,-116.870862,"-0.861","-0.116","-1.381","-0.865","-0.663","0.364","0.193","0.57","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,2,2,3,1,1,0,0,1,0
"Jenner",38.459034,-123.1274672,"-1.074","-0.304","1.999","-1.594","-1.448","N/A","-0.506","N/A","-0.157","-0.088","N/A","N/A","-0.248","N/A",1,1,4,1,1,0,1,0,1,1,0,0,1,0
"Julian",33.0735009,-116.5888828,"-0.903","1.311","0.243","-1.32","-0.975","-0.078","1.487","-0.19","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,4,2,1,1,1,4,1,1,1,0,0,1,0
"Kensington",37.9103035,-122.2827461,"-0.744","-0.147","-1.936","-0.603","-0.782","0.832","0.349","1.532","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,3,2,4,1,1,0,0,1,0
"Kentfield",37.9354256,-122.5587937,"-0.652","-0.067","-2.034","-0.766","-0.964","-0.557","-0.18","2.596","-0.138","-0.087","N/A","N/A","-0.264","N/A",1,1,1,1,1,1,1,4,1,1,0,0,1,0
"Kenwood",38.4154067,-122.5387529,"-1.074","-0.162","0.781","-1.033","-1.069","N/A","0.495","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,3,1,1,0,2,0,1,1,0,0,1,0
"Klamath",41.5322042,-124.0064129,"1.583","1.303","1.486","0.378","1.835","-1.242","1.011","-1.546","0.007","0.143","N/A","N/A","-0.293","N/A",4,4,4,2,4,1,4,1,2,2,0,0,1,0
"Knightsen",37.9624258,-121.6485795,"-0.003","0.691","-0.912","-0.283","-0.289","0.299","0.74","0.578","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,3,1,1,1,2,3,3,1,1,0,0,1,0
"La Crescenta-Montrose",34.233016,-118.2357737,"-0.492","-0.424","-0.961","0.312","-0.552","1.326","-0.49","1.278","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,4,1,4,1,1,0,0,1,0
"Ladera",37.3996004,-122.1990973,"-0.953","0.211","-0.699","-0.61","-1.131","N/A","-0.024","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,1,1,0,1,0,1,1,0,0,1,0
"Ladera Heights",33.9963134,-118.3757966,"-0.52","-0.072","-1.309","0.546","-0.366","-0.339","0.271","1.234","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,3,1,1,2,4,1,1,0,0,1,0
"Ladera Ranch",33.5493559,-117.6415031,"-0.753","-1.153","-1.967","0.158","-0.711","N/A","-1.506","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,0,1,0,1,1,0,0,1,0
"Lagunitas-Forest Knolls",38.0180262,-122.6913028,"-1.074","-0.184","-0.839","-0.637","-0.801","0.51","0.053","0.783","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,3,2,3,1,1,0,0,1,0
"La Honda",37.317705,-122.2584296,"-0.689","-0.54","-0.198","-1.205","-0.452","N/A","-0.056","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,0,1,0,1,1,0,0,1,0
"Lake Hughes",34.6824154,-118.4519379,"1.986","1.221","0.546","-0.057","0.42","N/A","0.26","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,4,3,1,2,0,2,0,1,1,0,0,1,0
"Lake Los Angeles",34.609839,-117.8303369,"1.947","0.91","0.127","1.158","1.405","-0.215","-0.147","-0.09","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,3,2,4,4,1,1,1,1,1,0,0,1,0
"Lake Nacimiento",35.730962,-120.8695164,"-0.494","0.594","0.145","-0.18","-0.355","1.256","0.143","-0.975","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,3,2,1,1,4,2,1,1,1,0,0,1,0
"Lake San Marcos",33.1223616,-117.2085756,"0.145","1.719","-0.668","-0.225","-0.473","1.442","2.058","0.821","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,4,1,1,1,4,4,3,1,1,0,0,1,0
"Lake Sherwood",34.1324155,-118.8850395,"-1.042","0.242","-3.626","-1.047","-1.161","N/A","0.472","N/A","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,1,1,0,2,0,1,1,0,0,1,0
"Lakeside",32.856617,-116.9042369,"-0.013","-0.13","0.089","-0.038","0.105","-0.082","-0.274","0.551","-0.149","-0.088","N/A","N/A","-0.309","N/A",1,1,2,1,2,1,1,3,1,1,0,0,1,0
"La Presa",32.7123147,-117.0037099,"0.235","-0.273","-0.218","1.154","0.48","1.134","-0.224","0.795","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,4,2,4,1,3,1,1,0,0,1,0
